marker,strain,genotype,cluster,cluster_LR
GACA4,56894,5,2,2
GACA4,57721,5,2,2
GACA4,58025,4,2,2
GACA4,64749,3,2,2
GACA4,57228,8,2,2
GACA4,58072,8,2,2
GACA4,63962,7,2,2
GACA4,56891,6,2,2
GACA4,F. mon R,2,2,2
GACA4,55787,21b,10,10
GACA4,55827,21a,10,10
GACA4,55498,21a,10,10
GACA4,55882,21a,10,10
GACA4,63746,21a,10,10
GACA4,56323,21c,10,10
GACA4,57081,21c,10,10
GACA4,55639,21c,10,10
GACA4,56762,21c,10,10
GACA4,56363,22,11,11
GACA4,56301,23b,12,12
GACA4,56321,23b,12,12
GACA4,64765,23b,12,12
GACA4,55349,23b,12,12
GACA4,56604,23a,12,12
GACA4,63648,23c,12,12
GACA4,56780,23c,12,12
GACA4,73725,23d,12,12
GACA4,55399,28,17,17
GACA4,56054,28,17,17
GACA4,63635,28,17,17
GACA4,57016,28,17,17
GACA4,56848,28,17,17
GACA4,62698,28,17,17
GACA4,57949,28,17,17
GACA4,63447,28,17,17
GACA4,56094,28,17,17
GACA4,55945,28,17,17
GACA4,56016,28,17,17
GACA4,55583,28,17,17
GACA4,56104,28,17,17
GACA4,56797,28,17,17
GACA4,55861,28,17,17
GACA4,56340,28,17,17
GACA4,63644,28,17,17
GACA4,57076,28,17,17
GACA4,55979,28,17,17
GACA4,63316,28,17,17
GACA4,63550,28,17,17
GACA4,69394,28,17,17
GACA4,55444,28,17,17
GACA4,63901,28,17,17
GACA4,63414,28,17,17
GACA4,57560,28,17,17
GACA4,63145,28,17,17
GACA4,56320,27,16,16
GACA4,63868,27,16,16
GACA4,56212,27,16,16
GACA4,57221,26a,15,15
GACA4,57239,26a,15,15
GACA4,F. oxy R,26a,15,15
GACA4,63768,26a,15,15
GACA4,55466,26a,15,15
GACA4,56375,26a,15,15
GACA4,55762,26a,15,15
GACA4,70758,26a,15,15
GACA4,55585,26b,15,15
GACA4,63880,26a,15,15
GACA4,F. oxy,26a,15,15
GACA4,55760,26a,15,15
GACA4,63200,25,14,14
GACA4,55529,25,14,14
GACA4,64945,25,14,14
GACA4,63353,25,14,14
GACA4,62802,24b,13,13
GACA4,57335,24b,13,13
GACA4,63917,24a,13,13
GACA4,58023,20,9,9
GACA4,63666,19,8,8
GACA4,73685,19,8,8
GACA4,57885,18,8,8
GACA4,64998,17,7,7
GACA4,70263,15b,6,6
GACA4,56988,15a,6,6
GACA4,68236,16,6,6
GACA4,F. sol R,16,6,6
GACA4,F. sol,16,6,6
GACA4,56240,16,6,6
GACA4,63613,14,5,5
GACA4,63649,14,5,5
GACA4,66848,14,5,5
GACA4,55588,14,5,5
GACA4,56337,13b,4,4
GACA4,F. spo,13a,4,4
GACA4,64927,12,4,4
GACA4,65068,11,3,3
GACA4,66780,11,3,3
GACA4,56868,10,3,3
GACA4,55347,10,3,3
GACA4,56665,9,3,3
GACA4,55496,32,18,18
GACA4,F. prol R,31,18,18
GACA4,56242,30,18,18
GACA4,63875,29,18,18
GACA4,64939,1,1,1
M13,56323,10,2.3,2
M13,56780,11,2.3,2
M13,64927,14,2.3,2
M13,56337,13,2.3,2
M13,56891,12,2.3,2
M13,56604,22b,2.7,2
M13,63200,22b,2.7,2
M13,64945,22a,2.7,2
M13,55347,21,2.7,2
M13,57335,23c,2.7,2
M13,63353,23b,2.7,2
M13,56301,23a,2.7,2
M13,63875,20,2.7,2
M13,63917,19,2.6,2
M13,55349,24c,2.8,2
M13,63447,24c,2.8,2
M13,56868,24b,2.8,2
M13,73752,24a,2.8,2
M13,63749,18,2.5,2
M13,55529,16,2.4,2
M13,63635,17,2.4,2
M13,53399,15,2.4,2
M13,55399,9,2.2,2
M13,56321,8,2.2,2
M13,66780,7,2.1,2
M13,58025,6,2.1,2
M13,F. mon R,33,5,5
M13,70263,34,5,5
M13,56054,35,5,5
M13,56988,36,5,5
M13,55444,38a,6,6
M13,63414,38b,6,6
M13,58023,37,6,6
M13,55496,41,6,6
M13,56665,40,6,6
M13,F. prol R,39,6,6
M13,57081,51d,8,8
M13,57239,51d,8,8
M13,55583,51c,8,8
M13,55945,51c,8,8
M13,63901,51b,8,8
M13,F. oxy R,51a,8,8
M13,63145,50,8,8
M13,55979,49c,8,8
M13,57949,49b,8,8
M13,55585,49a,8,8
M13,63880,48,8,8
M13,63550,47,8,8
M13,56242,46,8,8
M13,73758,45,8,8
M13,57560,44,8,8
M13,63666,52a,9,9
M13,64998,52b,9,9
M13,57885,52c,9,9
M13,55787,52d,9,9
M13,63746,54a,10,10
M13,55498,54b,10,10
M13,56848,53,10,10
M13,55588,56a,10,10
M13,66848,56b,10,10
M13,57228,57a,10,10
M13,63962,57b,10,10
M13,55827,55,10,10
M13,56375,58d,11,11
M13,56363,58c,11,11
M13,63868,58b,11,11
M13,56212,58b,11,11
M13,55466,58a,11,11
M13,57076,58f,11,11
M13,57221,58f,11,11
M13,41898,58f,11,11
M13,63644,58e,11,11
M13,62802,58h,11,11
M13,63613,58h,11,11
M13,63649,58h,11,11
M13,57016,58i,11,11
M13,62698,58i,11,11
M13,56016,58i,11,11
M13,55861,58g,11,11
M13,63316,43d,7,7
M13,63768,43c,7,7
M13,56104,43c,7,7
M13,73685,43b,7,7
M13,55760,43a,7,7
M13,63648,42,7,7
M13,55639,32,4,4
M13,55762,31,4,4
M13,55882,30,4,4
M13,58072,29,4,4
M13,69394,25,3,3
M13,64939,26,3,3
M13,56094,27,3,3
M13,56340,28,3,3
M13,56894,2,1.1,1
M13,3790,3,1.1,1
M13,64765,1,1.1,1
M13,68236,5d,1.2,1
M13,F. sol R,5c,1.2,1
M13,57721,5b,1.2,1
M13,56240,5a,1.2,1
M13,65068,4,1.2,1
